Id,Target
ID_2f6873615,4
ID_1c78846d2,4
ID_e5442cf6a,4
ID_a8db26a79,4
ID_a62966799,4
ID_e77d38d45,4
ID_3c5f4bd51,4
ID_a849c29bd,4
ID_472fa82da,4
ID_24864adcc,4
ID_247909995,4
ID_fbe8d0909,4
ID_8ed30c46a,4
ID_c8809fe15,4
ID_b726eb052,4
ID_3533dffe1,4
ID_67a331b9f,4
ID_67c4a6bb6,4
ID_8228c6a2e,4
ID_d54f1a82e,4
ID_a39d40b54,4
ID_748724edb,4
ID_8be4c9bbf,4
ID_7bade887b,4
ID_13f752d2b,4
ID_a9bff86ae,4
ID_04d3ee180,4
ID_47e48cb8f,4
ID_1615bc9ef,4
ID_3bb0b62f1,4
ID_033b1af6b,4
ID_454a8860e,4
ID_d83fd7394,4
ID_34d7d842b,4
ID_bc1b347a1,4
ID_ffa0e547e,4
ID_f8771a8ae,4
ID_801cbc30a,4
ID_61e44b7cf,3
ID_67c0283d8,4
ID_3feb0af61,4
ID_2d2185057,4
ID_0c471f8b5,4
ID_57de763e0,4
ID_d8a14957e,4
ID_242ee59d9,4
ID_e94e78175,4
ID_6017c9e65,4
ID_88714eeac,4
ID_bc1bc9d9f,4
ID_345e5b63c,4
ID_022e75d71,2
ID_7f93c60c3,2
ID_b53f40f79,2
ID_05c88e71d,2
ID_7beeca5ba,2
ID_5fbc29474,2
ID_79a87456c,4
ID_af55d9543,4
ID_bbc1ad33a,4
ID_c852377bb,4
ID_6aef2dec8,4
ID_3b12fa86d,4
ID_00fda5e47,4
ID_ed35fd190,4
ID_080eaa35f,2
ID_bcfc06cdd,2
ID_fe81eee62,4
ID_ddffba00a,4
ID_89b5b851b,4
ID_bdfda8da1,4
ID_123301f4c,4
ID_29828e26e,4
ID_658cc1120,4
ID_98c115d86,4
ID_fecfead5a,4
ID_18cb33272,4
ID_a7b7a17de,4
ID_8960b70f2,4
ID_aa3a29419,4
ID_7cd0b9e95,4
ID_aaa973a36,4
ID_b23ad6454,4
ID_387a9c0aa,4
ID_800c93fd5,4
ID_18e6cbe8a,4
ID_cdbd8bbd2,4
ID_68f20801d,4
ID_f51779227,4
ID_d53ede57c,4
ID_2ecee8834,4
ID_a2d461a29,4
ID_8d3bbd4bb,4
ID_bf6ff191b,4
ID_9159f91d2,4
ID_f92242495,3
ID_662b76faf,3
ID_49ff6ed83,3
ID_ead55f601,3
ID_d142a3ec2,3
ID_f9bdd5d7a,3
ID_22d230420,3
ID_2b1ba44b9,3
ID_48768e373,2
ID_55566da63,4
ID_69293b74d,4
ID_4cfb2e5f9,4
ID_7d841c89c,4
ID_87a354f8e,4
ID_6e2009b57,4
ID_0ee3b258f,4
ID_e284ad0b6,4
ID_2f2f17e1c,4
ID_f197ca00d,4
ID_707dbd527,4
ID_a29af464d,4
ID_07f07ae29,4
ID_d4bc1c8ce,4
ID_1c636c4eb,4
ID_cf7c703cc,4
ID_d90d4af6c,3
ID_21920b864,3
ID_42ba25860,3
ID_13ec903af,3
ID_d67b59f4c,3
ID_01da96a6a,2
ID_1dc03f342,2
ID_06b6a301b,4
ID_324a2d2af,4
ID_859041389,4
ID_46365724f,4
ID_e44b0b7c5,4
ID_558305941,4
ID_7103c71b8,2
ID_6e8703883,2
ID_aa1d709e1,4
ID_52e661cfc,4
ID_a96d3d9ce,4
ID_6481705cd,4
ID_df8bc4ee9,4
ID_558ce6fcb,4
ID_86d348313,3
ID_860211f0a,3
ID_9ab328698,1
ID_9064a33eb,1
ID_b236938eb,4
ID_612559efe,4
ID_0f4d3b214,4
ID_867d9fb37,4
ID_8dc260f41,4
ID_8acf284f3,4
ID_f0103142b,4
ID_6611bdfaa,4
ID_4e01a0632,4
ID_3e7cc106e,4
ID_8d1ab6764,4
ID_f78af23f8,4
ID_d8300e699,4
ID_3ef8c9d09,2
ID_e909ba245,2
ID_0b4785d19,2
ID_dcd013995,2
ID_bdfc7fe04,4
ID_b6d6cf35d,4
ID_eee9ca0a5,4
ID_838d247f8,3
ID_a487706eb,3
ID_04f748a3c,3
ID_ac81608b7,3
ID_4c571314c,4
ID_061c80f66,4
ID_9826d990d,4
ID_879c72cbe,4
ID_5e6369780,4
ID_99ba2cfd4,4
ID_099863004,4
ID_f70e7151f,4
ID_4c211afb1,4
ID_7b4206ca0,4
ID_72492619b,1
ID_87953ac1a,1
ID_ddcd0330b,1
ID_79c40642f,1
ID_bfbc98c4c,1
ID_255513d07,4
ID_784ad0075,4
ID_46a0e72c0,4
ID_c2ca8a58e,4
ID_1fceced84,4
ID_662aacdce,4
ID_f0e892996,2
ID_25778b337,2
ID_5ba7c94ab,2
ID_eda5e5065,2
ID_c95a6d1b7,4
ID_517244c4b,4
ID_0bba8bc8f,4
ID_3e26d9caf,4
ID_2fdbabe18,4
ID_a44b4aaa5,4
ID_51f0f44f5,4
ID_fcbd03ce1,4
ID_c9b736c29,4
ID_862466444,4
ID_d2e36bbf4,4
ID_1b1980445,4
ID_ca6f8b9b2,4
ID_96b8d844f,4
ID_bec0c1bbd,4
ID_93e23283b,4
ID_393c7b061,4
ID_27ec461a9,4
ID_cd44730ef,4
ID_7c5f6da37,4
ID_32ba17314,4
ID_4eb8cefc9,4
ID_b7e30682b,4
ID_8f147f744,4
ID_795980e7f,4
ID_26e3e73c2,4
ID_94b283510,4
ID_d98ddc492,4
ID_94974129f,4
ID_c76c2699b,4
ID_b4707584a,4
ID_cb41734d2,4
ID_e4039682b,4
ID_a82529c72,4
ID_37f534a22,4
ID_6b2daded6,4
ID_4d1a2106e,4
ID_f0bbe5fe5,1
ID_2c02e70ac,1
ID_483bb49bb,1
ID_559d59d2b,4
ID_e4a4fcec8,4
ID_b453e4b53,4
ID_0c041f2cf,4
ID_b61b15210,4
ID_faa1bdff1,4
ID_a69bbdf9b,4
ID_b26a375da,4
ID_b19b7da0e,4
ID_4d9762666,4
ID_ce4d3742d,4
ID_aafd7a883,4
ID_b8a025c97,4
ID_0211ad6c5,4
ID_78039cef8,4
ID_70be5c23d,4
ID_5a0cf1c21,4
ID_83c7f963d,4
ID_59bfbc6b3,4
ID_d78d0b664,4
ID_ff753cf4f,4
ID_5ad0464b8,4
ID_e26351dae,4
ID_11d611292,4
ID_ad666c541,4
ID_465508b5b,4
ID_5d5af3562,4
ID_c5d7775df,4
ID_d0b4d6716,4
ID_ba0fed69e,4
ID_a103e5d5f,4
ID_bfa816f9d,4
ID_0393cbdff,4
ID_a05967ade,4
ID_95d2815d0,4
ID_dcfe4e072,4
ID_8e5f97f66,4
ID_d11bb3834,4
ID_d14a929bb,4
ID_8ec8c220a,2
ID_de142271a,2
ID_c3ff949a7,2
ID_11faa4c1c,2
ID_6fbe31e24,2
ID_97089128b,4
ID_e29d668c4,4
ID_712cbed2f,4
ID_d9cc90288,4
ID_eaa00fdb7,4
ID_caefae08c,4
ID_2690a8b23,4
ID_7069cd94f,4
ID_2983423c2,4
ID_5470cbb9c,4
ID_b5a9b3f79,4
ID_72374facb,4
ID_e38ea7de1,4
ID_d339c35bc,4
ID_f55c8d646,4
ID_9619ae5ea,2
ID_ad64c7e03,2
ID_246bb7e43,2
